City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Alofi,NU,-19.0595,-169.9187,80.49,69,40,9.22,scattered clouds
80,Hakkari,TR,37.5833,44.1667,22.78,93,20,3.44,mist
81,Mbandaka,CD,0.0487,18.2603,69.1,98,98,2.48,light rain
82,Bredasdorp,ZA,-34.5322,20.0403,55.26,74,100,2.66,overcast clouds
83,Atambua,ID,-9.1061,124.8925,87.3,56,52,5.3,broken clouds
84,Geraldton,AU,-28.7667,114.6,64.81,52,75,23.02,broken clouds
85,Emmett,US,43.8735,-116.4993,33.17,89,33,6.44,scattered clouds
86,Barrow,US,71.2906,-156.7887,28.42,86,0,12.66,clear sky
87,Naze,JP,28.3667,129.4833,72.09,82,54,2.48,broken clouds
88,Miri,MY,4.4148,114.0089,81.61,77,100,11.61,overcast clouds
89,Hami,CN,42.8,93.45,38.64,60,71,2.8,broken clouds
90,Faanui,PF,-16.4833,-151.75,78.93,78,16,6.58,moderate rain
91,Makakilo City,US,21.3469,-158.0858,80.92,68,0,11.5,clear sky
92,Arlit,NE,18.7369,7.3853,66.58,19,53,5.37,broken clouds
93,Chivilcoy,AR,-34.8957,-60.0167,71.65,47,80,15.17,broken clouds
94,Bilibino,RU,68.0546,166.4372,-27.51,100,90,1.66,overcast clouds
95,Labrea,BR,-7.2586,-64.7981,73.15,99,100,2.59,moderate rain
96,Krasnovishersk,RU,60.4078,57.082,0.81,97,11,2.21,few clouds
97,Muravlenko,RU,63.7898,74.523,8.76,78,100,28.68,overcast clouds
98,Beverley,GB,53.8459,-0.4233,51.06,93,100,12.66,overcast clouds
99,Bethel,US,41.3712,-73.414,37.49,62,0,5.75,clear sky
100,Hannoversch Munden,DE,51.4151,9.6505,47.48,100,40,1.14,scattered clouds
101,Miles City,US,46.4083,-105.8406,11.37,72,100,19.57,overcast clouds
102,Ossora,RU,59.2353,163.0719,16.68,79,1,6.98,clear sky
103,Tuktoyaktuk,CA,69.4541,-133.0374,11.32,82,26,5.86,scattered clouds
104,Ketchikan,US,55.3422,-131.6461,32.47,86,0,3.51,clear sky
105,Port Alfred,ZA,-33.5906,26.891,63.18,94,100,1.01,overcast clouds
106,Makat,KZ,47.6469,53.3463,37.71,82,82,15.82,broken clouds
107,Tura,IN,25.5198,90.2201,71.73,64,2,3.51,light rain
108,Grand Forks,US,47.9417,-97.4337,15.53,79,100,20.71,overcast clouds
109,Neosho,US,36.869,-94.368,38.61,71,87,7.0,light rain
110,Kokuy,RU,52.2037,117.5529,25.57,71,100,2.3,overcast clouds
111,Talcahuano,CL,-36.7167,-73.1167,60.48,82,0,12.66,clear sky
112,Severo-Kurilsk,RU,50.6789,156.125,34.93,68,100,15.48,overcast clouds
113,Onitsha,NG,6.1454,6.7885,73.15,94,52,2.66,broken clouds
114,San Ramon,US,37.7799,-121.978,55.62,64,0,3.44,clear sky
115,Zeya,RU,53.75,127.2667,21.65,75,23,1.12,few clouds
116,Dikson,RU,73.5069,80.5464,-0.81,94,100,24.79,light snow
117,Mahibadhoo,MV,3.7833,72.9667,80.74,80,100,16.31,heavy intensity rain
118,Nanortalik,GL,60.1432,-45.2371,22.82,72,100,3.42,overcast clouds
119,San Quintin,MX,30.4833,-115.95,61.34,45,99,6.04,overcast clouds
120,Dingle,PH,10.9995,122.6711,77.94,93,100,10.02,moderate rain
121,Toccoa,US,34.5773,-83.3324,37.35,53,0,9.22,clear sky
122,Dunedin,NZ,-45.8742,170.5036,55.8,83,94,1.99,overcast clouds
123,Synya,RU,65.3718,58.0387,15.15,95,100,9.84,snow
124,Royan,FR,45.6285,-1.0281,55.2,68,4,15.1,clear sky
125,Tuy Hoa,VN,13.0833,109.3,80.42,85,99,9.69,overcast clouds
126,Cidreira,BR,-30.1811,-50.2056,66.72,83,32,9.35,scattered clouds
127,Pocone,BR,-16.2567,-56.6228,71.44,28,7,3.33,clear sky
128,Walvis Bay,NA,-22.9575,14.5053,59.09,85,99,3.44,overcast clouds
129,Porto Novo,BJ,6.4965,2.6036,77.29,82,27,3.13,scattered clouds
130,Hammerfest,NO,70.6634,23.6821,34.25,75,61,5.75,broken clouds
131,Tigil,RU,57.8,158.6667,22.51,90,100,12.91,light snow
132,Praia,CV,14.9215,-23.5087,77.54,78,20,14.97,few clouds
133,Ostrovnoy,RU,68.0531,39.5131,37.02,72,100,13.98,overcast clouds
134,Oxbow,CA,49.2333,-102.1676,2.64,80,99,14.18,overcast clouds
135,Sisophon,KH,13.5859,102.9737,80.55,81,100,5.91,overcast clouds
136,Sungaipenuh,ID,-2.0833,101.3833,75.36,66,99,4.94,light rain
137,Dogondoutchi,NE,13.6393,4.0287,72.99,23,98,8.55,overcast clouds
138,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,73,11,2.75,few clouds
139,Svetlaya,RU,46.5389,138.3297,33.66,62,100,2.48,overcast clouds
140,Port Elizabeth,ZA,-33.918,25.5701,63.1,81,100,1.83,overcast clouds
141,Beberibe,BR,-4.1797,-38.1306,78.33,74,9,10.38,clear sky
142,Sur,OM,22.5667,59.5289,74.48,67,2,6.89,clear sky
143,Airai,TL,-8.9266,125.4092,78.24,47,23,1.52,few clouds
144,Bengkulu,ID,-3.8004,102.2655,82.36,71,91,9.62,overcast clouds
145,Aracruz,BR,-19.8203,-40.2733,70.81,70,100,6.91,overcast clouds
146,Cabedelo,BR,-6.9811,-34.8339,77.67,84,39,8.39,scattered clouds
147,Hamilton,US,39.1834,-84.5333,30.97,74,100,8.05,overcast clouds
148,Muroto,JP,33.2833,134.15,63.45,55,0,9.8,clear sky
149,Fortuna,US,40.5982,-124.1573,44.98,94,93,3.65,overcast clouds
150,Mount Gambier,AU,-37.8333,140.7667,72.39,41,99,8.95,overcast clouds
151,Ilulissat,GL,69.2167,-51.1,21.22,86,100,4.61,light snow
152,Verkhoyansk,RU,67.5447,133.385,-19.28,87,100,2.59,overcast clouds
153,Harper,LR,4.375,-7.7169,77.31,83,34,5.99,light rain
154,Nekrasovka,RU,48.3525,135.2325,28.42,74,20,4.47,few clouds
155,Olafsvik,IS,64.8945,-23.7142,44.15,87,97,13.18,overcast clouds
156,Kamenka,RU,51.3223,42.7678,36.97,100,100,8.19,light rain
